command,currencyPair,amount,rate,immediateOrCancel,nonce
buy,BTC_LTC,3.98636967,0.01792800,1,1517838021379
buy,BTC_LTC,4.00104106,0.01789085,1,1517838320226
buy,BTC_LTC,4.00324032,0.01785100,1,1517838620346
buy,BTC_LTC,4.01066298,0.01781397,1,1517838921080
sell,BTC_LTC,4.00063633,0.01742756,1,1517842820207
buy,BTC_LTC,4.00314069,0.01749245,1,1517843120458
sell,BTC_LTC,3.99313284,0.01744947,1,1517843719890
buy,BTC_LTC,3.88436467,0.01814365,1,1517848521547
buy,BTC_LTC,3.87181260,0.01817457,1,1517848820355
buy,BTC_LTC,3.86142176,0.01825100,1,1517849121533
buy,BTC_LTC,3.86443613,0.01823273,1,1517849422595
buy,BTC_LTC,3.87181473,0.01818900,1,1517849719961
buy,BTC_LTC,3.89348043,0.01809500,1,1517850021287
buy,BTC_LTC,3.88580229,0.01809800,1,1517850321380
sell,BTC_LTC,3.87608779,0.01777422,1,1517853920780
buy,BTC_LTC,3.88897656,0.01785776,1,1517854222604
sell,BTC_LTC,3.87925412,0.01773512,1,1517855720409
buy,BTC_LTC,3.87329181,0.01786080,1,1517856019952
sell,BTC_LTC,3.86360859,0.01777300,1,1517856321329
buy,BTC_LTC,3.87311288,0.01793003,1,1517857820899
buy,BTC_LTC,3.85587275,0.01797297,1,1517858120009
buy,BTC_LTC,3.87379538,0.01792197,1,1517859021023
buy,BTC_LTC,3.86838534,0.01788036,1,1517859320486
sell,BTC_LTC,3.85871438,0.01784577,1,1517861421809
buy,BTC_LTC,3.83944015,0.01810048,1,1517864722825
sell,BTC_LTC,3.82984155,0.01807357,1,1517866521447
buy,BTC_LTC,3.83135987,0.01811800,1,1517867120299
sell,BTC_LTC,3.82178148,0.01807357,1,1517867720814
buy,BTC_LTC,3.82082284,0.01814997,1,1517870720280
sell,BTC_LTC,3.81127080,0.01796764,1,1517872520268
buy,BTC_LTC,3.79828477,0.01806985,1,1517872819938
sell,BTC_LTC,3.78878906,0.01791801,1,1517873120964
buy,BTC_LTC,3.77658018,0.01814485,1,1517873722269
buy,BTC_LTC,3.75170584,0.01823732,1,1517877022170
buy,BTC_LTC,3.75051440,0.01820048,1,1517877620216
sell,BTC_LTC,3.74113812,0.01804005,1,1517880622057
buy,BTC_LTC,3.74679543,0.01810930,1,1517880919854
sell,BTC_LTC,3.73742845,0.01801205,1,1517882722633
buy,BTC_LTC,3.77416951,0.01807352,1,1517883622887
buy,BTC_LTC,3.75201106,0.01815298,1,1517883922171
buy,BTC_LTC,3.78331782,0.01798831,1,1517884220359
buy,BTC_LTC,3.77092510,0.01814000,1,1517884523807
buy,BTC_LTC,3.74539680,0.01812618,1,1517884820939
buy,BTC_LTC,3.74931239,0.01808799,1,1517885124306
sell,BTC_LTC,3.73993912,0.01786950,1,1517889321912
buy,BTC_LTC,3.73745944,0.01802029,1,1517891120485
buy,BTC_LTC,3.73721441,0.01799865,1,1517891420893
sell,BTC_LTC,3.72787139,0.01810474,1,1517894420719
buy,BTC_LTC,3.74604358,0.01815128,1,1517897121586
buy,BTC_LTC,3.73954949,0.01811841,1,1517897423223
sell,BTC_LTC,3.73020062,0.01771000,1,1517901021136
buy,BTC_LTC,3.72216146,0.01779327,1,1517901620133
sell,BTC_LTC,3.71285606,0.01770000,1,1517902820435
buy,BTC_LTC,3.70300157,0.01787746,1,1517903721614
buy,BTC_LTC,3.71273631,0.01784591,1,1517904321763
buy,BTC_LTC,3.70385944,0.01778392,1,1517904621993
sell,BTC_LTC,3.69459980,0.01763001,1,1517907020270
buy,BTC_LTC,3.68640129,0.01779859,1,1517910022043
buy,BTC_LTC,3.69346735,0.01782075,1,1517910320874
buy,BTC_LTC,3.67977967,0.01778294,1,1517910621663
sell,BTC_LTC,3.67058023,0.01757202,1,1517914820182
